Scraped Label,Category,Subcategory
"EcosystemDev",Budgets,Ecosystem
"FoundationReserver",Reserve,Reserve
"Backers",Investors,Second Round
"FoundingTeam",Founders,Founders
"EarlyBackers",Investors,Seed Round
"ParachainCrowdloanFund",Parachain,Crowdloan
"PLOReserve",Parachain,Auctions
"CommunityRewards",Budgets,Community
"LockDropRewards",Budgets,Community
"HoldersReward",Budgets,Community
"MarketingFund",Budgets,Marketing
"LiquidityFund",Liquidity,Liquidity
"DeveloperFund",Budgets,Developers
"PolkadotCrowdloan",Parachain,Crowdloan
"KusamaCrowdloan",Parachain,Crowdloan
"vTokenMintIncentive",Budgets,Ecosystem
"CollatorIncentive",Budgets,Ecosystem
"SlashInsuranceFund",Budgets,Ecosystem
"FounderandTeam",Founders,Founders
"SeedRoundI",Investors,Seed Round
"SeedRoundII",Investors,Seed Round
"StrategicRound",Investors,Second Round
"PrivateRound",Investors,Second Round
"Marketing&CommunityBuild",Budgets,Marketing
"MintDrop",Budgets,Ecosystem
"Treasury(Foundation)",Reserve,Reserve
"Crowdloan",Parachain,Crowdloan
"DistributiontoEQHolders",Budgets,Community
"LiquidityFarming",Liquidity,Liquidity
"EQStakingBonus",Budgets,Community
"Treasury",Reserve,Reserve
"Parachain",Parachain,Crowdloan
"Investors",Investors,Seed Round
"Team",Founders,Founders
"NUT/EQTokenSwap",Budgets,Community
"Ecosystem",Budgets,Ecosystem
"Founders&Team",Founders,Founders
"SeedRound",Investors,Seed Round
"Foundation",Reserve,Reserve
"PrivateSale",Investors,Seed Round
"Marketing",Budgets,Marketing
"EarlyInvestrors",Investors,Seed Round
"Companyreserve",Reserve,Reserve
"Offering",Investors,Second Round
"ServiceProviders",Budgets,Developers
"EcosystemUn-mined",Budgets,Ecosystem
"PLOSupply",Parachain,Auctions
"LockdropMA",Budgets,Community
"LiquidityMining",Liquidity,Liquidity
"DevFund",Budgets,Developers
"PrivateInvestorsSeed",Investors,Seed Round
"FoundingGroup",Founders,Founders
"PublicSales",Investors,Second Round
